Tempo (s),Tensão (V)
316.58,0.81
317.08,0.81
317.58,0.81
318.09,0.81
318.59,0.81
319.09,0.81
319.59,0.81
320.09,0.81
320.59,0.81
321.09,0.81
321.59,0.81
322.09,0.81
322.59,0.81
323.10,0.81
323.60,0.81
324.10,0.81
324.60,0.81
325.10,0.81
325.60,0.81
326.10,0.81
326.60,0.81
327.10,0.81
327.60,0.81
328.10,0.81
328.61,1.03
329.11,1.42
329.61,1.60
330.11,1.07
330.61,0.55
331.11,0.54
331.61,0.14
332.11,0.00
332.61,0.00
333.11,0.00
333.61,0.37
334.11,0.89
334.62,1.27
335.12,1.54
335.62,1.60
336.12,1.95
336.62,2.35
337.12,2.40
337.62,2.40
338.12,2.40
338.62,2.40
339.13,2.40
339.63,2.40
340.13,2.40
340.63,2.40
341.13,2.40
341.63,2.40
342.13,2.40
342.63,2.27
343.13,1.72
343.63,1.38
344.13,1.27
344.64,1.86
345.14,2.18
345.64,2.36
346.14,2.72
346.64,2.74
347.14,2.94
347.64,3.06
348.14,3.06
348.64,3.06
349.14,3.06
349.64,3.06
350.15,3.06
350.65,3.06
351.15,3.06
351.65,3.06
352.15,3.06
352.65,3.06
353.15,3.06
353.65,3.06
354.15,3.06
354.65,3.06
355.16,3.06
355.66,3.06
356.16,3.06
356.66,3.06
357.16,3.06
357.66,3.06
358.16,3.06
358.66,3.06
359.16,3.06
359.66,3.06
360.17,3.06
360.67,3.06
361.17,3.06
361.67,3.06
362.17,3.06
362.67,3.06
363.17,3.06
363.67,3.06
364.17,3.06
364.67,3.06
365.17,3.06
365.67,3.06
366.18,3.06
366.68,3.06
367.18,3.06
367.68,3.06
368.18,3.06
368.68,3.06
369.18,3.06
369.68,3.06
370.18,3.06
370.68,3.06
371.19,3.06
371.69,3.06
372.19,3.06
372.69,3.06
373.19,3.06
373.69,3.06
374.19,3.06
374.69,3.06
375.19,3.06
375.69,3.06
376.20,3.06
376.70,3.06
377.20,3.06
377.70,3.06
378.20,3.06
378.70,3.06
